DATE,A229RX0
2019-09-01,45332.0
2019-10-01,45376.0
2019-11-01,45542.0
2019-12-01,45325.0
2020-01-01,45708.0
2020-02-01,45948.0
2020-03-01,45256.0
2020-04-01,51997.0
2020-05-01,49516.0
2020-06-01,49055.0
2020-07-01,49347.0
2020-08-01,47430.0
2020-09-01,47603.0
2020-10-01,47381.0
2020-11-01,46755.0
2020-12-01,46801.0
2021-01-01,51512.0
2021-02-01,47184.0
2021-03-01,57881.0
2021-04-01,48996.0
2021-05-01,47560.0
2021-06-01,47302.0
2021-07-01,47629.0
2021-08-01,47555.0
2021-09-01,46871.0
2021-10-01,46870.0
2021-11-01,46733.0
2021-12-01,46548.0
2022-01-01,45502.0
2022-02-01,45456.0
2022-03-01,45263.0
2022-04-01,45229.0
2022-05-01,45164.0
2022-06-01,44960.0
2022-07-01,45178.0
2022-08-01,45194.0
2022-09-01,45169.0
